ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L;Price;Stars/5;#ratings;Reviews;Description
1567407781;The Witchfinder (Amos Walker Mystery Series);Loren D. Estleman;1998;Brilliance Audio - Trade;http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg;₹2,647.00;4.7;354;"[""Great book with great art, Mignola's pulpy style suits the Victorian era and like all of Mignola's work it has plenty if charm, Dave Stewarts colours make the artwork pop and there are plenty of easter eggs for long time Hellboy fans yet is also accessible to new readers, recommended."", 'If you are reading this you most probably are aware of Witchfinder. This is another great hardcover product from the Hellboy universe. A great first volume, I await the second patiently!', 'Great graphic novel set in gothic Victorian Times , reminded me of classic Hammer movies , bring on vol 2']";The collected adventures of England's greatest occult investigator!When the man called the Witchfinder becomes an agent of the Queen, he is led from the sparkling echelons of Victorian London to its dark underbelly, through the American West, and to explore the mysteries of Unland! Throughout his adventures, he'll face occult conspiracies, rampaging monsters, and London's most infamous secret society: the Heliopic Brotherhood of Ra!This first omnibus edition collects Sir Edward Grey: Witchfinder volumes 1-3, complete with extensive sketchbook section.  Read more
1575663937;More Cunning Than Man: A Social History of Rats and Man;Robert Hendrickson;1999;Kensington Publishing Corp.;http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg;₹24,902.00;4.4;6;"[""What an interesting non-fiction read.  Our family owns pet rats so we know what funny and intelligent creatures they are.  So, we're naturally interested in rats.  Read this book and learn how rats shaped history in ways you cannot even imagine."", 'Interesting and informative.  Well researched.']";Filled with rat attack stories, strange tales of elderly women living with rats, and other interesting information, a fascinating foray into the world of the rat examines the way these creatures have survived through the ages despite many attempts to annihilate them. Reprint.  Read more
0440234743;The Testament;John Grisham;1999;Dell;http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg;₹1,365.00;4.0;2;[];On August 12, 1952, Russia's greatest Jewish writers were secretly executed by Stalin. In this remarkable blend of history and imagination, Paltiel Kossover meets the same fate but, unlike his real-life counterparts, he is permitted to leave a written testament. From a Jewish boyhood in pre-revolutionary Russia, Paltiel traveled down a road that embraced Communism, only to return to Russia and discover a Communist Party that had become his mortal enemy. Two decades later, Paltiel's son, Grisha, reads this precious record of his father's life and finds that it illuminates the shadowed planes of his own.        Passionate and fierce, this story
1841721522;New Vegetarian: Bold and Beautiful Recipes for Every Occasion;Celia Brooks Brown;2001;"Ryland Peters &amp; Small Ltd";http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg;₹11,556.00;4.1;10;"['Le livre date un peu, mais les recettes essayées étaient toutes très bonnes.', ""I love the book but the condition of this 'preloved' book has put me off buying used books. It smelled of cigarette smoke and the cover was stuck to the book by food. Yeuk!"", 'Saw this book recommended in a very old copy of Good Food magazine and I was delighted it was available on lie. It came very soon after order placed. I was  surprised that it was an old library book ! Trust I wont get any fines for its non return !! Thank you  Pauline']";
0061076031;"Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)";"Mary-Kate &amp; Ashley Olsen";2000;HarperEntertainment;http://images.amazon.com/images/P/0061076031.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061076031.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061076031.01.LZZZZZZZ.jpg;₹370.00;4.2;4;['this book is perfect for pre-teens, it talks them through the basic clothing they should have in their wardrobe and even a few helpful suggestions on how to style an outfit. the book is a little dated and aimed more towards american girls but i think the modest is better message that runs through the book could easily be applied to any girls mantra.', 'very nice book for anybody thats a big fan of Mary Kate and Ashley.and well packed plus it has helped a charity', 'mary-kate&ashleyの写真とファッション・ヒントがぎっしり詰まったオールカラーの1冊です☆mary-kate&ashleyファンはもちろん、米国や英国のティーンズファッションに興味がある方も楽しめる内容になっていると思います。(一応英国出版の本なので…)内容は７つの項目から成っていて、普段着のアイテムから、ドレスアップについて、デニムの着こなし方やリメイクの方法、自分に合ったアイテムの選び方や、アクセサリーやバッグ、靴にメイクetc…150ページに渡って、けっこう細かく書かれています。(m-k&aブランドのデザイナーが書いているようです)10代前半向けに書かれている感じですが、見開きで片側に写真、もう片側に文章という感じの作りで、英語が苦手な私でも簡単に読めるし、m-k&aファンには眺めているだけでも楽しい本になっていると思います。so little timeの15歳位から最近までの奇麗な写真が色々載っているのも、m-k&aファンには嬉しいところ☆是非お薦めです☆'];Mary-Kate and Ashley Olsen are two of the coolest style icons on the planet – and in this gorgeous full colour hardback book they share all their secrets! This fantastic book on what to wear is a must for any girl with an interest in fashion and all Mary-Kate and Ashley fans.Mary-Kate and Ashley Olsen share their style secrets in this beautiful, hardback, full-colour fashion bible.The book covers everything from your capsule wardrobe, casual wear, going glam, doing denim, accessorising right and how to work out what really works for you.Full of gorgeous images of the megastar twins in some
0689821166;Flood : Mississippi 1927;Kathleen Duey;1998;Aladdin;http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg;₹1,458.00;4.7;743;"['I read this book many years ago & the fact that it\'s still on my shelves & not in a charity shop suggests how good it is, i.e., I intend to read it again. Take advantage of the ""Look Inside"" facility & read the Prologue: it\'ll give you an idea of the quality of the writing.', 'excellent', 'Beautifully written, exciting, distressing, revealing this great river and the lives of those concerned with it  Found it enormously interesting and wonderfully thought out,']";An American epic of science, politics, race, honor, high society, and the Mississippi River, Rising Tide tells the riveting and nearly forgotten story of the greatest natural disaster this country has ever known -- the Mississippi flood of 1927. The river inundated the homes of nearly one million people, helped elect Huey Long governor and made Herbert Hoover president, drove hundreds of thousands of blacks north, and transformed American society and politics forever.  A New York Times Notable Book of the Year, winner of the Southern Book Critics Circle Award and the Lillian Smith Award.  Read more
0345402871;Airframe;Michael Crichton;1997;Ballantine Books;http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg;₹856.00;4.4;1,545;"[""Michael Crichton's ability to imagine different scenarios in which several things may go erroneous is truly astounding.  Airframe, though it did not feature any sci-fi elements in itself, was a truly great read. It is a story of the investigation of a seemingly normal plane crash, until the investigators witness the condition of the interior cabin. And the fact that the pilot is behaving so strangely accentuates the strangeness of the entire incident.However, in spite of being a really good thriller, the first half of the book was not as interesting as the last. And that is the sole reason why this book gets four stars from me. Albeit the boringness of the first half, I would truly recommend this book to anybody who likes to read a good adventure.As for the delivery and packaging, I have no complains."", 'Airframe is quite a different a book of Michael Crichton, I am used to reading, like: Timeline, Congo, Jurassic Park, The Lost World, ect,. To say the truth, the first 200 pages were a bit slow.And then bang. From the 220th page, Michael Crichton says, I am greatest. Simply he is. Amazing the last 200 pages. The ending was so very very great.Airframe is quite different a book I have being introduced to. Its a deftly woven tale, yes it is,  it is corporate skulduggery, yep quite it is, media deceit, totally, and a first rate thriller, obviously.The details were more than, I think, was needed. Nevertheless, this book is different but very interesting and overally a good read.', 'Good']";A pilot calls into the control tower to reqest an emergency landing. Following a mystery incident, the plane's cabin is virtually destroyed, ninety-four passengers are injured and three are dead.Investigating this fatal accident for the airline, Casey Singleton must find out the truth before the multi-million dollar business goes bust in the face of a huge meda backlash. Further lives are at stake and it seems everyone is against her - even her own colleagues - and everyone has something to hide.Airframe is a fast-paced, adrenaline-fuelled thriller from the master of high-concept storytelling.  Read more
0345417623;Timeline;MICHAEL CRICHTON;2000;Ballantine Books;http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg;₹1,099.00;4.8;1,061;"['Well illustrated -great for teaching', 'The book itself is very good but came without any packing whatsoever--just in an Amazon plastic bag. It had been dropped or banged against something hard and sharp so the front cover was damaged at one spot; there was a corresponding tear in the plastic bag where the book was damaged. I am satisfied with the book so am not returning it; I will repair it and cover the tear with a sticker or some tape.', 'The book is great... every content timeline is meticulously made. However, the book hard cover at the back was damaged. I did not want to return it but sellers should be penalized by Amazon for such activities.']";Explore 13 billion years of history in the comfort of your own home! Journey through time and discover how some of the world's greatest events unfolded.From the Big Bang all the way through to the digital age, this incredible visual encyclopedia for children shows you just about everything that has ever happened in history.Witness history come alive as you travel through more than 130 stunning timelines. Discover an unprecedented collection of history timelines and a wealth of knowledge about the world, packed with fantastic photographs and illustrations, along with informative text and fun facts. The history book covers the rise
0684823802;OUT OF THE SILENT PLANET;C.S. Lewis;1996;Scribner;http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg;₹817.00;4.5;2,070;"['As promised', ""bought Out of the Silent Planet by CS Lewis but apart from the title  page, the book downloaded is Busman's Honeymoon by Dorothy Sayers!"", 'If you know about C. S. Lewis, it\'s probably about his children\'s series ""The Chronicles of Narnia,"" which is a colorful but straightforward fantasy tale about skipping between worlds and a lion god-king.But Lewis was in his best form when he wrote his Space Trilogy, a sprawling H. G. Wells-inspired story about a philologist traveling between worlds and encountering increasingly strange life-forms. Unlike most sci-fi stories, Lewis manages to do double-duty with his focus -- the first volume, ""Out of the Silent Plane,t"" is a solid, dreamy slice of imaginative science fiction with deep philosophical underpinnings.During a walking tour of England, philologist Dr. Ransom encounters an old despised schoolmate named Devine, who is busy trying to abduct a mentally handicapped teenager. Things take a nasty turn after Devine and his accomplice Weston drug Ransom, and load him onto a spaceship. Over the course of a month\'s interstellar travel, Ransom learns that they are traveling to the planet Malacandra (Mars) -- and worst, he\'s destined to be a human sacrifice.After landing on Malacandra, Ransom manages to escape, and quickly finds himself alone on a strange alien world. But fortunately there is life on this world. He soon is taken in by the otterlike hrossa, and learns that there are three sentient species on Malacandra: the peaceful poetry-loving hrossa, the workaholic pfifltriggi, and intelligent seroni. When a hross friend of Ransom\'s is killed by the murderous humans, he sets out to find the mysterious, powerful Oyarsa, who might be able to help him and stop his kidnappers.While it does have some interplanetary travel, ""Out of the Silent Planet"" feels less like your average space opera, and more like a novel by H. G. Wells (the spaceship journey) or Edgar Rice Burroughs (the detailed descriptions of the weirdness of Malacandra). Big fleshy plants, sentient otter-people, decreased gravity and petrified forests all give it the feeling of a truly alien world, as do the three species who populate it.In fact, the aliens are perhaps the most alien you can find in fiction -- three dissimilar species, who work together and have no problems like war, starvation, lies, power-lust or any of the other problems that human beings have. It\'s underscored by Lewis\'s contemplative stretches of ethical and philosophical dialogue, and the thought-provoking approach to ideas like consciousness, cruelty, love and so on. And he takes some razor-sharp jabs at ideas such as the ""white man\'s burden"" or that people who ""aren\'t useful"" to society (such as the handicapped) being disposable.Lewis\' writing has a dreamlike, somber quality that lends the story an eeriness that really permeates the entire story. And while Lewis\' Christian beliefs are on view, I wouldn\'t classify this as a religious book -- rather it\'s a science fiction tale as seen and perceived through the lens of a man of faith. For instance, the character of Oyarsa could be seen as an angelic figure, a nearly invisible shimmer of light and shadow that rules Malacandra, but others might just perceive him as an alien. Others might see him as both.Lewis reportedly based Ransom on his close friend, fantasy author/philologist J. R. R. Tolkien, and there\'s an obvious affection for his protagonist even as he\'s kidnapped, sent into space and becomes a ""stranger in a strange land."" He almost goes bonkers once or twice, but always makes it through with steadfast morality and intellect. On the other hand, Weston and Devine are the kind of person you have probably encountered in many comment sections -- they pay lip service to great advances and high ideals, but they are cold cruel men who value science and self above compassion and humanity. The opposite of the Malacandrians, in fact.""Out of the Silent Planet"" is a spellbinding, vivid and beautifully written piece of science fiction, with the intelligence and open-mindedness to see that the limits between the scientific and the spiritual don\'t have to exist. Off to Mars!']";The first novel in C.S. Lewis’s classic sci-fi trilogy which tells the adventure of Dr Ransom who is kidnapped and transported to MarsIn the first novel of C.S. Lewis's classic science fiction trilogy, Dr Ransom, a Cambridge academic, is abducted and taken on a spaceship to the red planet of Malacandra, which he knows as Mars. His captors are plotting to plunder the planet's treasures and plan to offer Ransom as a sacrifice to the creatures who live there. Ransom discovers he has come from the 'silent planet' – Earth – whose tragic story is known throughout the universe… 
0375759778;Prague : A Novel;ARTHUR PHILLIPS;2003;Random House Trade Paperbacks;http://images.amazon.com/images/P/0375759778.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg;₹600.00;3.4;57;"[""This is an erudite intellectual read. I chose it for a book club, which was a bad choice for that reason; it's not an easy read. But it is well worthwhile persisting. I won'r spoil it but Eco quickly sets up an impossible and intriguing situation which isn't resolved until the end. Almost all of the characters and places are real and it is a fascinating account of European history. Doubtless some will find the anti Semitism, racism, homophobia and misogyny disturbing - but that is the point. It's a warning from history"", ""There was either no editor employed here, or he shouldn't be employed again. At least a quarter of this should have been cut. As a result the rambling got the better of me and I had to donate it to cancer research."", 'As I read PRAGUE, I kept hearing whispers of Hemingway\'sTHE SUN ALSO RISES. The novel is about expatriates living and working in 1990s Budapest, just after the fall of Communism. The protagonist, journalist John Price, is in Budapest to reconcile with his brother Scott, who for some reason cannot stand the sight of him. John is enamored of embassy aide Emily Oliver, who is likewise disenchanted (She could be the Lady Brett of the piece if we continue the SUN ALSO RISES analogy). Charles Gabor, an American venture capitalist, is the villain (unless you count John Price as his own worst enemy) as he\'s in Budapest to make a name for himself by pillaging newly democratic Hungary of its marketable assets. All of these characters hang out at Café Gerbeaud where they play a game called ""Sincerity,"" especially appropriate since practically no one is this novel is sincere. We catch another whiff of SUN ALSO RISES when we learn that John Price is a virgin. A co-worker at his newspaper quickly divests him of the burden and before we know it Price is involved in a quirky sexual relationship with Nicky (no last name that I can remember), a photographer/artist and the most interesting character in the book. The plot revolves around Charles Gabor\'s efforts to loot Imri Horvath\'s publishing business with the help of some promotional articles written by John Price. Then there\'s the three-way relationship between Nicky, Emily, and John, the climax of which is the most entertaining part of the book. The characters don\'t measure up to SUN ALSO RISES, although John Price has to be one of the most clueless protagonists I\'ve ever encountered. The depressing tone is similar, however; we get the feeling that Phillips isn\'t so sure Budapest is better off under capitalism. I was also bothered by Phillips penchant for long sentences with intrusive parenthetical remarks, a stylistic irritant that I know Hemingway would choke on. I was also wondering why in the heck the book was called PRAGUE when the novel is set in Budapest. We don\'t get to see Prague until Price\'s train reaches the outskirts of the city at the end of the book. Maybe the choice was similar to the movie FARGO, where BRAINERD just didn\'t sound right.']";A novel of startling scope and ambition, Prague depicts an intentionally lost Lost Generation as it follows five American expats who come to Budapest in the early 1990s to seek their fortune. They harbor the vague suspicion that their counterparts in Prague have it better, but still they hope to find adventure, inspiration, a gold rush, or history in the making.  Read more
